id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12237726,Beautiful downtown 2BD apartment with Netflix,3648948,Erik,,Praha 1,50.09061,14.42723,Entire home/apt,2078,2,178,2019-09-22,4.23,1,237
12239032,Private room in student apartment,19750012,Lukáš,,Praha 6,50.10576,14.39024,Private room,590,3,10,2017-10-01,0.25,1,28
12245876,Charles square apartment 26,65855863,JulAnna S.R.O.,,Praha 2,50.07602,14.41795,Entire home/apt,3519,2,20,2019-08-05,0.51,7,0
12251294,Centrally located studio apartment,34315299,Bernhard,,Praha 5,50.07262,14.3949,Entire home/apt,1157,2,27,2019-08-04,0.64,12,149
12259440,3 room Apartment in the centre,65855863,JulAnna S.R.O.,,Praha 2,50.07657,14.4182,Entire home/apt,3236,2,11,2018-12-29,0.28,7,0
12259486,"80 m², New Town, central location",62419836,Pavel,,Praha 2,50.07663,14.42673,Entire home/apt,2078,1,106,2019-09-10,2.55,2,194
12267610,Nice appartm in heart of Prague,66074483,Karel,,Praha 3,50.08834,14.46704,Entire home/apt,874,2,46,2019-08-21,1.10,2,9
12267983,Stylish apartments in center Prague 11,65072263,Oleksiy,,Praha 10,50.07507,14.45167,Entire home/apt,1299,2,82,2019-09-22,1.97,2,1
12276703,Cozy apartment in the centre,33333689,Šárka,,Praha 1,50.08362,14.42629,Entire home/apt,1677,1,307,2019-09-27,7.30,6,319
12276994,CHEAP studio in HEART of the Old Prague,50351669,Tomáš,,Praha 1,50.09226,14.42156,Entire home/apt,945,2,351,2019-09-26,8.34,2,37
12281033,"花园别墅安全安静,交通方便,地铁近在咫尺",50062056,Suxin,,Praha 11,50.03659,14.48058,Shared room,779,3,3,2017-05-01,0.09,6,90
12282512,Design Home & Garage with AC in Karlín,66169860,Petr,,Praha 8,50.09372,14.45412,Entire home/apt,1016,1,237,2019-09-03,5.72,2,336
12284956,Double room,66201215,Královský,,Praha 2,50.07206,14.44192,Hotel room,1559,2,1,2018-04-01,0.05,3,271
12285291,Nice stay a few minutes to the center of PRAGUE!,66202927,Veronika,,Praha 10,50.07426,14.47921,Entire home/apt,1110,2,3,2016-10-31,0.08,1,0
12285350,Apartment At I.P.Pavlova 2nd floor right no.5,15683232,Vaclav,,Praha 2,50.07357,14.4304,Entire home/apt,3873,3,6,2019-08-27,0.15,34,0
12286365,Apartment 6 people,66201215,Královský,,Praha 2,50.07037,14.44147,Hotel room,56850,2,1,2019-04-22,0.19,3,90
12287310,In the Heart and the Heat II.,34118476,Zuzana,,Praha 1,50.08704,14.41911,Entire home/apt,3070,1,7,2019-08-16,2.56,3,213
12296189,Cozy Studio at Heart of Prague WashDryer TV WiFi❤️,3529680,Ondřej ✈️,,Praha 1,50.07974,14.42166,Entire home/apt,1016,1,226,2019-09-24,5.39,24,274
12296293,Beautiful central apartment  - Prague 1 - 60 m2,33392985,Dagmar,,Praha 1,50.0823,14.40589,Entire home/apt,2811,1,3,2019-09-22,0.07,5,357
12302238,Private room near the center,51307460,Collin,,Praha 10,50.07423,14.45186,Private room,803,5,0,,,3,0
12305181,Maisonette Na Kozačce,47498113,Anaven,,Praha 2,50.07271,14.44219,Entire home/apt,756,2,83,2019-09-20,2.00,9,290
